0,1000
1,1039
2,1077
3,1115
4,1154
5,1192
6,1231
7,1270
8,1308
9,1347
10,1347
11,1426
12,1465
13,1505
14,1545
15,1585
16,1625
17,1665
18,1705
19,1746
20,1786
21,1827
22,1868
23,1909
24,1951
25,1992
26,2034
27,2076
28,2118
29,2160
30,2202
31,2245
32,2287
33,2330
34,2373
35,2416
36,2460
37,2503
38,2547
39,2591
40,2635
41,2679
42,2724
43,2769
44,2813
45,2858
46,2904
47,2949
48,2995
49,3040
50,3086
51,3132
52,3179
53,3225
54,3272
55,3319
56,3366
57,3414
58,3461
59,3509
60,3557
61,3605
62,3653
63,3702
64,3751
65,3800
66,3849
67,3899
68,3948
69,3998
70,4048
71,4099
72,4149
73,4200
74,4251
75,4302
76,4354
77,4406
78,4458
79,4510
80,4562
81,4615
82,4668
83,4721
84,4774
85,4828
86,4882
87,4936
88,4990
89,5045
90,5100
91,5155
92,5211
93,5266
94,5322
95,5378
96,5435
97,5492
98,5549
99,5606
100,5663
110,6255
120,6875
130,7528
140,8214
150,8936
160,9696
170,10496
180,11337
190,12219
200,13142
210,14104
220,15101
230,16127
240,17174
250,18233
260,19294
270,20346
280,21381
290,22390
300,23367
310,24308
320,25210
330,26074
340,26899
350,27686
360,28437
370,29154
380,29838
390,30492
400,31118
410,31717
420,32292
430,32844
440,33374
450,33885
460,34377
470,34852
480,35311
490,35755
500,36184
